Metadata_hour,Metadata_treatment,Ed
4,osi,0.099241
4,osi,0.056340072
4,osi,0.063415039
4,osi,0.079527448
4,osi,0.120416975
4,osi,0.097126454
4,osi,0.126696406
4,osi,0.387777506
4,osi,0.386695397
4,osi,0.12218213
4,osi,0.15933838
4,osi,0.151139614
4,osi,0.120587779
4,osi,0.124806976
4,osi,0.126386243
4,osi,0.134894268
4,osi,0.190197911
4,osi,0.205945698
4,osi,0.217254549
4,osi,0.056919302
4,osi,0.054754603
4,osi,0.05304116
4,osi,0.052960995
4,osi,0.068936835
4,osi,0.058511091
4,osi,0.067282303
4,osi,0.024918304
4,osi,0.042396026
4,osi,0.055839001
4,osi,0.159882077
4,osi,0.081725525
4,osi,0.074664811
4,osi,0.076376976
4,osi,0.105332353
4,osi,0.081343907
4,osi,0.064935559
4,osi,0.091100856
4,osi,0.070697821
4,osi,0.079717447
4,osi,0.055658061
4,osi,0.044576343
4,osi,0.044057403
4,osi,0.042994215
4,osi,0.027921041
4,osi,0.040558375
4,osi,0.050021205
4,osi,0.119510598
4,osi,0.130248208
4,osi,0.14074041
4,osi,0.136398969
4,alm,0.237346834
4,alm,0.227960957
4,alm,0.281369229
4,alm,0.074541021
4,alm,0.061460704
4,alm,0.068385619
4,alm,0.085554463
4,alm,0.089878901
4,alm,0.074483021
4,alm,0.026299965
4,alm,0.072758524
4,alm,0.067611998
4,alm,0.143514002
4,alm,0.098667415
4,alm,0.090655506
4,alm,0.078499413
4,alm,0.081620259
4,alm,0.110935585
4,alm,0.105970596
4,alm,0.061037062
4,alm,0.043898335
4,alm,0.052687868
4,alm,0.063718522
4,alm,0.116565846
4,alm,0.116288903
4,alm,0.081240265
4,alm,0.069621068
4,alm,0.088866008
4,alm,0.088633348
4,alm,0.095448096
4,alm,0.110334268
4,alm,0.147871574
4,alm,0.167866345
4,alm,0.154907304
4,alm,0.304050047
4,alm,0.389772438
4,alm,0.136923498
4,alm,0.127160452
4,alm,0.189758495
4,alm,0.166971292
4,alm,0.070403425
4,alm,0.07613963
4,alm,0.068614203
4,alm,0.094014418
4,alm,0.109210448
4,alm,0.117238992
4,alm,0.112729985
4,alm,0.14456895
4,alm,0.136838625
4,alm,0.202768231
4,alm,0.183970732
4,alm,0.16472295
4,alm,0.1414823
4,alm,0.150397491
4,alm,0.154882761
4,alm,0.070988606
4,alm,0.081920856
4,alm,0.092229062
4,alm,0.057072195
4,alm,0.06904309
4,alm,0.041906476
4,alm,0.065333713
4,alm,0.124240855
4,alm,0.085687303
4,alm,0.089021746
4,alm,0.074680053
4,alm,0.092186018
