Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
H1975,4.0,GEF,9,2,60.0,2,0.1153581514954567,0.4301647841930389,0.8377411365509033,0.89076954,False,0.11068699378747351,0.0
H1975,4.0,GEF,9,2,60.0,3,0.0818841680884361,0.3993555605411529,0.825032651424408,0.90996355,True,0.06823124694479797,0.036790557679547406
H1975,6.0,GEF,0,2,60.0,1,0.2604205310344696,2.13318395614624,0.828113853931427,0.61589533,False,0.2505475921137317,0.0
H1975,6.0,GEF,0,2,60.0,2,0.0609324276447296,0.3126900196075439,0.5387051105499268,0.8813251,True,0.05815837935589245,0.029501255056486722
H1975,6.0,GEF,1,2,60.0,1,0.2075633853673935,1.3197625875473022,0.8467487692832947,0.5871586,False,0.2093630765598783,0.0
H1975,6.0,GEF,1,2,60.0,2,0.1302300840616226,1.1271302700042725,0.7614864110946655,0.9802307,True,0.11438380591133873,0.08061315558681115
H1975,6.0,GEF,10,2,60.0,1,0.1243211477994918,0.3856607377529144,0.9587403535842896,0.88793427,False,0.10242272702568243,0.0
H1975,6.0,GEF,11,2,60.0,1,0.2747438549995422,1.5628235340118408,0.7556968331336975,0.9420432,False,0.2244083733756209,0.0
H1975,6.0,GEF,11,2,60.0,2,0.0707640051841735,0.4323927462100982,0.8905968070030212,0.9671752,True,0.07165232785510531,0.039434893876731714
H1975,6.0,GEF,12,2,60.0,1,0.0797415897250175,0.4913971424102783,0.0296296514570713,0.31046546,True,0.07727618313137051,0.04397532209461681
H1975,6.0,GEF,12,2,60.0,2,0.1673898100852966,1.2237217426300049,0.6587181091308594,0.9123745,False,0.2025116689083748,0.0
H1975,6.0,GEF,13,2,60.0,1,0.1419839411973953,0.7046846151351929,0.956166684627533,0.9661186,False,0.1521242909493759,0.0
H1975,6.0,GEF,14,2,60.0,1,0.0428267270326614,0.1326940208673477,0.7768669128417969,0.18997528,False,0.04311084792501319,0.0
H1975,6.0,GEF,14,2,60.0,2,0.2039470225572586,1.5044398307800293,-0.6656800508499146,0.36776263,False,0.22106095380004268,0.0
H1975,6.0,GEF,15,2,60.0,1,0.1719641536474228,1.223009467124939,0.8901809453964233,0.31562883,False,0.20245864471466174,0.0
H1975,6.0,GEF,15,2,60.0,2,0.1593293249607086,0.7363438606262207,0.8999782204627991,0.9523467,False,0.1560604134095426,0.0
H1975,6.0,GEF,16,2,60.0,1,0.1579976081848144,0.7294015288352966,0.3136087357997894,0.9509823,False,0.15520962491120402,0.0
H1975,6.0,GEF,17,2,60.0,1,0.1027319356799125,0.4353009760379791,0.8608756065368652,0.9396807,False,0.11160778251831799,0.0
H1975,6.0,GEF,17,2,60.0,2,0.2526499927043915,1.336408257484436,0.788960874080658,0.9702404,False,0.21049328052100869,0.0
H1975,6.0,GEF,17,2,60.0,3,0.2422463595867157,1.0342559814453125,0.8142925500869751,0.9695746,False,0.18709847956374656,0.0
H1975,6.0,GEF,18,2,60.0,1,0.1523470282554626,0.7493131756782532,0.9049220085144044,0.9653078,False,0.15763172225732705,0.0
H1975,6.0,GEF,18,2,60.0,2,0.2084672600030899,1.9604861736297607,0.1987463980913162,0.5543713,False,0.24369609232499587,0.0
H1975,6.0,GEF,19,2,60.0,1,0.102326825261116,0.3783544301986694,0.9606066942214966,0.9593627,False,0.1010149691999334,0.0
H1975,6.0,GEF,19,2,60.0,2,0.1704783886671066,1.707129716873169,0.9895389080047609,0.9463803,True,0.130889818691236,0.10117284601732729
H1975,6.0,GEF,19,2,60.0,3,0.3718411326408386,2.024867057800293,0.9710916876792908,0.8114815,False,0.2463417608218417,0.0
