Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff
MCF7,2,A133,9,2,40,10,0.0947418510913848,0.47075436,0.9395965,0.9887372,True,0.07537510624403572,0.042413158874552825
MCF7,4,A133,0,1,80,1,0.0923954844474792,0.44624165,0.8219501,0.9518399,True,0.07302592407131123,0.04052144002237257
MCF7,4,A133,0,1,80,2,0.1013819128274917,0.6665459,0.7899267,0.8957144,True,0.09103508086783915,0.056148918804777126
MCF7,4,A133,0,1,80,3,0.1095450222492218,0.5072494,0.8836037,0.976064,False,0.12384664356144377,0.0
MCF7,4,A133,0,1,80,4,0.1008124724030494,0.70788753,0.69784415,0.8235675,True,0.09377068965008734,0.05875844734759306
MCF7,4,A133,0,1,80,5,,0.41055015,0.8869418,0.95907754,False,0.10710888599033505,0.0
MCF7,4,A133,0,1,80,6,0.084965705871582,0.66870344,0.70637006,0.90858966,True,0.0911820405320694,0.05628746184997159
MCF7,4,A133,0,1,80,7,0.0747014656662941,0.40460098,0.7156552,0.9251852,True,0.06878853243222566,0.03721535248603773
MCF7,4,A133,0,1,80,8,0.0790032148361206,0.5745225,0.7003292,0.9291972,True,0.08429080997481496,0.04998753790525663
MCF7,4,A133,0,1,80,9,0.1117818132042884,0.7998333,0.009799471,0.4502665,True,0.09930132450746973,0.06423529546728016
MCF7,4,A133,0,1,80,10,0.1196251735091209,0.80883735,0.18828905,0.6659056,True,0.099805838285693,0.06474856169946874
MCF7,4,A133,1,1,80,1,0.0762988254427909,0.5303289,0.52866304,0.8675216,True,0.08068291667255617,0.046845900956124814
MCF7,4,A133,1,1,80,2,0.0812524110078811,0.5299915,0.90951484,0.9673142,True,0.08065434569726296,0.046821442240121
MCF7,4,A133,1,1,80,3,0.0970866605639457,0.8250165,0.83487415,0.9446416,True,0.1006970676027542,0.06566091984557847
MCF7,4,A133,10,1,80,1,0.0932501405477523,0.67218584,0.2767895,0.6581153,True,0.09141824207723949,0.05651052469188948
MCF7,4,A133,10,1,80,2,0.0883691757917404,0.58903927,0.6240321,0.8612525,True,0.08542046460285024,0.05099306239576196
MCF7,4,A133,10,1,80,3,0.1337159574031829,0.5771282,0.89843875,0.9748006,False,0.1346644981682529,0.0
MCF7,4,A133,10,1,80,4,0.1098657175898552,0.53711575,0.57252467,0.89907765,False,0.12859057361164897,0.0
