Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,Rc,Ed,cell_Ed
MCF7,2.0,A133,0,1,80.0,3.16,,
MCF7,2.0,A133,0,1,80.0,3.17,,
MCF7,2.0,A133,0,1,80.0,3.18,,
MCF7,2.0,A133,0,1,80.0,3.19,,
MCF7,2.0,A133,0,1,80.0,3.2,,
MCF7,2.0,A133,0,1,80.0,3.21,,
MCF7,2.0,A133,0,1,80.0,3.22,,
MCF7,2.0,A133,0,1,80.0,3.23,,
MCF7,2.0,A133,0,1,80.0,3.24,,
MCF7,2.0,A133,0,1,80.0,3.25,,
MCF7,2.0,A133,0,1,80.0,3.26,,
MCF7,2.0,A133,0,1,80.0,3.27,,
MCF7,2.0,A133,0,1,80.0,3.28,,
MCF7,2.0,A133,0,1,80.0,3.29,,
MCF7,2.0,A133,0,1,80.0,3.3,,
MCF7,2.0,A133,0,1,80.0,3.31,,
MCF7,2.0,A133,0,1,80.0,3.32,,
MCF7,2.0,A133,0,1,80.0,3.33,,
MCF7,2.0,A133,0,1,80.0,3.34,,
MCF7,2.0,A133,0,1,80.0,3.35,,
MCF7,2.0,A133,0,1,80.0,3.36,,
MCF7,2.0,A133,0,1,80.0,3.37,,
MCF7,2.0,A133,0,1,80.0,3.38,,
MCF7,2.0,A133,0,1,80.0,3.39,,
MCF7,2.0,A133,0,1,80.0,3.4,,
MCF7,2.0,A133,0,1,80.0,3.41,,
MCF7,2.0,A133,0,1,80.0,3.42,,
MCF7,2.0,A133,0,1,80.0,3.43,,
MCF7,2.0,A133,0,1,80.0,3.44,,
MCF7,2.0,A133,0,1,80.0,3.45,,
MCF7,2.0,A133,0,1,80.0,3.46,,
MCF7,2.0,A133,0,1,80.0,3.47,,
MCF7,2.0,A133,0,1,80.0,3.48,,
MCF7,2.0,A133,0,1,80.0,3.49,,
MCF7,2.0,A133,0,1,80.0,3.5,,
MCF7,2.0,A133,0,1,80.0,3.51,,
MCF7,2.0,A133,0,1,80.0,3.52,,
MCF7,2.0,A133,0,1,80.0,3.53,,
MCF7,2.0,A133,0,1,80.0,3.54,,
MCF7,2.0,A133,0,1,80.0,3.55,,
MCF7,2.0,A133,0,1,80.0,3.56,,
MCF7,2.0,A133,0,1,80.0,3.57,,
MCF7,2.0,A133,0,1,80.0,3.58,,
MCF7,2.0,A133,0,1,80.0,3.59,,
MCF7,2.0,A133,0,1,80.0,3.6,,
MCF7,2.0,A133,0,1,80.0,3.61,,
MCF7,2.0,A133,0,1,80.0,3.62,,
MCF7,2.0,A133,0,1,80.0,3.63,,
MCF7,2.0,A133,0,1,80.0,3.64,,
MCF7,2.0,A133,0,1,80.0,3.65,,
MCF7,2.0,A133,0,1,80.0,3.66,,
MCF7,2.0,A133,0,1,80.0,3.67,,
MCF7,2.0,A133,0,1,80.0,3.68,,
MCF7,2.0,A133,0,1,80.0,3.69,,
MCF7,2.0,A133,0,1,80.0,3.7,,
MCF7,2.0,A133,0,1,80.0,3.71,,
MCF7,2.0,A133,0,1,80.0,3.72,,
MCF7,2.0,A133,0,1,80.0,3.73,,
MCF7,2.0,A133,0,1,80.0,3.74,,
MCF7,2.0,A133,0,1,80.0,3.75,,
MCF7,2.0,A133,0,1,80.0,3.76,,
MCF7,2.0,A133,0,1,80.0,3.77,,
MCF7,2.0,A133,0,1,80.0,3.78,,
MCF7,2.0,A133,0,1,80.0,3.79,,
MCF7,2.0,A133,0,1,80.0,3.8,,
MCF7,2.0,A133,0,1,80.0,3.81,,
MCF7,2.0,A133,0,1,80.0,3.82,,
MCF7,2.0,A133,0,1,80.0,3.83,,
MCF7,2.0,A133,0,1,80.0,3.84,,
MCF7,2.0,A133,0,1,80.0,3.85,,
MCF7,2.0,A133,0,1,80.0,3.86,,
MCF7,2.0,A133,0,1,80.0,3.87,,
MCF7,2.0,A133,0,1,80.0,3.88,,
MCF7,2.0,A133,0,1,80.0,3.89,,
MCF7,2.0,A133,0,1,80.0,3.9,,
MCF7,2.0,A133,0,1,80.0,3.91,,
MCF7,2.0,A133,0,1,80.0,3.92,,
MCF7,2.0,A133,0,1,80.0,3.93,,
MCF7,2.0,A133,0,1,80.0,3.94,,
MCF7,2.0,A133,0,1,80.0,3.95,,
