current_Metadata_concentration,ObjectNumber,Metadata_treatment,Metadata_site,Metadata_hour,Metadata_dish,Metadata_cell,Ed_cell_variance,Ed_cell_mean_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Ed_agg_min_value,Ed_agg_mean_value,Ed_agg_max_value,E_value
20.0,6,osimertinib,16,6.0,3.0,H1975,0.0003115839208476,0.0286226291209459,0.031555738300085,0.0364894270896911,0.0004210240440443,0.0228847749531269,0.0501969568431377,-1.1847445342877845
20.0,1,osimertinib,17,6.0,3.0,H1975,0.0031610005535185,0.0457524880766868,0.0619781762361526,0.0839129090309143,0.0003697410866152,0.0386979132890701,0.1498546749353408,-0.7713173007660288
20.0,2,osimertinib,17,6.0,3.0,H1975,0.0002704180951695,0.0369713231921196,0.0250112395733594,0.0286144223064184,0.0034641937818378,0.0177261345088481,0.0364745967090129,-1.2533970521597155
20.0,3,osimertinib,17,6.0,3.0,H1975,0.0019089884590357,0.0901645570993423,0.058439016342163,0.063508927822113,0.0083370124921202,0.0473162420094013,0.0749907493591308,-0.9491946129895317
20.0,1,osimertinib,18,6.0,3.0,H1975,0.0056850668042898,0.1008557900786399,0.0494703091681003,0.0569487661123275,0.0111357569694519,0.0374043136835098,0.0780309438705444,-1.006384625112501
20.0,1,osimertinib,19,6.0,3.0,H1975,0.0031018934678286,0.0380895398557186,0.0263075418770313,0.0301645305007696,0.0037281704135239,0.017493175342679,0.0359995998442173,-1.239883558080046
20.0,2,osimertinib,19,6.0,3.0,H1975,0.0040141963399946,0.0383164063096046,0.093403086066246,0.1206103414297103,0.0009544723434373,0.0641457810997963,0.1556210219860077,-0.45139735113454144
20.0,3,osimertinib,19,6.0,3.0,H1975,0.001065365737304,0.0386156812310218,0.0407107397913932,0.0483443774282932,0.0001772569376043,0.0290453638881444,0.0737050771713256,-1.0813957475390472
20.0,4,osimertinib,19,6.0,3.0,H1975,0.0028964288067072,0.0285010654479265,0.0796397998929023,0.1068555414676666,0.0001625951408641,0.0493591763079166,0.2250309735536575,-0.5713085989632201
20.0,1,osimertinib,2,6.0,3.0,H1975,0.0041574724018573,0.0789618492126464,0.0569823235273361,0.0656299293041229,0.0100770127028226,0.0456361398100853,0.0841030329465866,-0.9307041998205935
20.0,2,osimertinib,2,6.0,3.0,H1975,1.2259577488293871e-05,9.585155203239992e-05,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,1,osimertinib,20,6.0,3.0,H1975,0.0029643857851624,0.0629903227090835,0.0351917706429958,0.042065430432558,0.0027031695935875,0.0249771643429994,0.0670270025730133,-1.1361341931279623
20.0,2,osimertinib,20,6.0,3.0,H1975,2.766568059087149e-06,2.4863060389179736e-05,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,1,osimertinib,3,6.0,3.0,H1975,0.0025981308426707,0.0517858453094959,0.0506383031606674,0.0625336989760398,0.0002109008346451,0.0351808369159698,0.1067624613642692,-0.9576964384013048
20.0,2,osimertinib,3,6.0,3.0,H1975,2.411832838333794e-06,1.1927429113711696e-05,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,3,osimertinib,3,6.0,3.0,H1975,0.0004673301591537,0.0037080484908074,0.091814711689949,0.1230581626296043,0.0111838867887854,0.0620127283036708,0.1434963792562484,-0.4300577972805594
20.0,1,osimertinib,4,6.0,3.0,H1975,2.677267730177846e-06,2.3919163140817545e-05,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,2,osimertinib,4,6.0,3.0,H1975,3.238549470552243e-05,0.0004203487187623,0.0239196792244911,0.0239196792244911,0.0239196792244911,0.0239196792244911,0.0239196792244911,-1.2943247648667286
20.0,1,osimertinib,5,6.0,3.0,H1975,0.0092917056754231,0.13534677028656,0.119531325995922,0.1306370347738266,0.0430041253566741,0.1008150875568389,0.1538304984569549,-0.36398689705260145
20.0,2,osimertinib,5,6.0,3.0,H1975,0.0035341628827154,0.04110037535429,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,3,osimertinib,5,6.0,3.0,H1975,0.0029752927366644,0.039345197379589,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,1,osimertinib,6,6.0,3.0,H1975,0.0008129077614285,0.0425842851400375,0.0443398281931877,0.0523305386304855,0.0024160232860594,0.0323344282805919,0.0689233541488647,-1.0466452920529519
20.0,1,osimertinib,7,6.0,3.0,H1975,0.0004908903501927,0.0345477312803268,0.0368420034646987,0.0422485023736953,0.0027085212059319,0.0268709082156419,0.0528742261230945,-1.134538213181706
20.0,1,osimertinib,8,6.0,3.0,H1975,0.0046126139350235,0.0868933051824569,0.0482854284346103,0.0569275915622711,0.0019349842332303,0.0353433080017566,0.0677000060677528,-1.0065692200703689
20.0,2,osimertinib,8,6.0,3.0,H1975,0.0069841290824115,0.2047998160123825,0.1914949566125869,0.2084535807371139,0.0680675059556961,0.1593434512615203,0.270180195569992,0.314400222638311
20.0,3,osimertinib,8,6.0,3.0,H1975,1.0173628652410116e-05,6.954107811907306e-05,0.0,0.0,0.0,0.0,0.0,-1.5028511404872635
20.0,1,osimertinib,9,6.0,3.0,H1975,0.0040863081812858,0.1019140779972076,0.0529107935726642,0.0589948184788227,0.0037371329963207,0.0402506552636623,0.0819423794746398,-0.9885476014504856
