ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,E
2,15,20,4,VIN,0.7420911103455522,False,0.4320748429417506,0.2046556621789932,1.7125282287597656,0.804370105266571,0.81358457,VIN,0.2594278837979823,0.0214854329522845,0.0214854329522845,0.0,0.0,0.19562989473342896,0.09781494736671448
3,15,20,4,VIN,0.7578046520621844,False,0.4477883846583828,0.1785818189382553,1.7473785877227783,0.4228460192680359,0.744308,VIN,0.2613495044637649,0.0216445787286365,0.0216445787286365,0.03995950541155548,0.0,0.5771539807319641,0.28857699036598206
1,16,20,4,VIN,0.6537714001143037,False,0.343755132710502,0.1953564584255218,2.315596580505371,-0.2190944403409958,0.12261644,VIN,0.286981827634427,0.0237674097552482,0.0237674097552482,0.0,0.0,0.7809055596590042,0.3904527798295021
2,16,20,4,VIN,0.7453360052290787,False,0.4353197378252771,0.3242692649364471,3.8617935180664062,0.7068078517913818,0.6166063,VIN,0.3263966701797168,0.0270316886154616,0.0270316886154616,0.3248900164196528,0.24640264679577067,0.29319214820861816,0.26979739750219445
1,17,20,4,VIN,0.6247455721011365,False,0.3147293046973348,0.2508501410484314,3.62824821472168,0.7264133095741272,0.48466054,VIN,0.3221317474623035,0.0266784740351699,0.0266784740351699,0.0,0.21793071327266755,0.2735866904258728,0.24575870184927018
1,18,20,4,VIN,0.6387301810702656,False,0.3287139136664639,0.2681535184383392,1.23804771900177,0.9285929799079896,0.8623912,control,0.2461369967105383,0.0,0.0,0.030286033336499284,0.0,0.07140702009201039,0.035703510046005194
2,18,20,4,VIN,0.6639657733817461,False,0.3539495059779445,0.3130362927913666,2.3590962886810303,0.580110490322113,0.50258976,control,0.3124870824840086,0.0,0.0,0.2659176505095885,0.1535444914559303,0.41988950967788696,0.28671700056690863
3,18,20,4,VIN,0.5538432847730863,False,0.2438270173692847,0.3335568010807037,2.8381941318511963,0.5483295917510986,0.40747812,control,0.3290213012882066,0.0,0.0,0.3736489711137511,0.263924259119127,0.45167040824890137,0.3577973336840142
4,18,20,4,VIN,0.5434221769150867,False,0.233405909511285,0.4037776589393616,5.334849834442139,0.980005979537964,0.89080495,control,0.3747095224184124,0.0,0.0,0.7423038623281825,0.5689314259540325,0.019994020462036022,0.29446272320803424
5,18,20,4,VIN,0.6612945078623194,False,0.3512782404585177,0.1617517322301864,1.5662204027175903,0.8681511878967285,0.8748927,VIN,0.2507910906602822,0.0207701465414092,0.0207701465414092,0.12831635512394626,0.0,0.13184881210327148,0.06592440605163574
6,18,20,4,VIN,0.7278791774702272,False,0.4178629100664256,0.215612456202507,2.88896107673645,0.6481174230575562,0.3275704,VIN,0.3052539375122381,0.0252806788222779,0.0252806788222779,0.0,0.10525718675088243,0.35188257694244385,0.22856988184666313
1,19,20,4,VIN,0.5568732423140299,False,0.2468569749102283,0.3144852221012115,3.372297763824463,0.3184450566768646,0.5452167,VIN,0.3169343885777823,0.0262480364730716,0.0262480364730716,0.2735244342115683,0.18323398686972162,0.6815549433231354,0.4323944650964285
2,19,20,4,VIN,0.7044561050450091,False,0.3944398376412075,0.2881103754043579,2.8150739669799805,0.8774489164352417,0.7373357,VIN,0.3032075621416436,0.0251112010461173,0.0251112010461173,0.13505822151737176,0.0915959161076902,0.1225510835647583,0.10707349983622425
3,19,20,4,VIN,0.6737432109079583,False,0.3637269435041567,0.1871650516986847,1.6545367240905762,0.8089481592178345,0.7944708,VIN,0.2561184434809128,0.0212113500086894,0.0212113500086894,0.0,0.0,0.19105184078216553,0.09552592039108276
4,19,20,4,VIN,0.6478887578456577,True,0.3378724904418561,0.2349132895469665,2.168234348297119,0.92817622423172,0.84748626,VIN,0.2812173442602326,0.0232900037832006,0.0232900037832006,0.0,0.0,0.07182377576828003,0.035911887884140015
5,19,20,4,VIN,0.6673231396474575,False,0.3573068722436558,0.4716547131538391,4.15013313293457,0.1654577404260635,0.6050982,control,0.3585522299794341,0.0,0.0,1.0,0.4610679576764788,0.8345422595739365,0.6478051086252077
6,19,20,4,VIN,0.4235742852032797,True,0.1135580177994781,0.1170458272099495,0.7009153366088867,0.3743963539600372,-0.08291499,VIN,0.1693308335736949,0.0140237287458857,0.0140237287458857,0.3630194199177653,0.4021434476829396,0.6256036460399628,0.5138735468614511
7,19,20,4,VIN,0.5165132959509916,True,0.20649702854719,0.1376493126153946,1.517773151397705,0.5842820405960083,0.6597115,VIN,0.2477099482551621,0.0205149708926221,0.0205149708926221,0.25485247490448976,0.0,0.4157179594039917,0.20785897970199585
8,19,20,4,VIN,0.6612964425727337,False,0.351280175168932,0.1741348356008529,3.056829929351806,0.8091020584106445,0.7743064,VIN,0.3096261665530809,0.0256427803532846,0.0256427803532846,0.06330587582734126,0.1344454799151155,0.19089794158935547,0.16267171075223547
9,19,20,4,VIN,0.7473733082524127,True,0.437357040848611,0.1676718592643737,2.2797274589538574,0.4213802218437195,0.64569473,VIN,0.2856264057845172,0.0236551557259126,0.0236551557259126,0.09723607706529762,0.0,0.5786197781562805,0.28930988907814026
